after,distnoab,timetorecid,traffcoc,ban,age,black,male,totalyearssentenced,prioroffensenumber,countoffenses,anyrecid,finrecidany,nonfinrecidany
1,4212,,0,1,42,0,1,4.4931507,0,2,0,0,0
1,2351,,1,1,35,1,1,5.821918,0,2,0,0,0
1,3781,725,0,1,26,1,1,5.821918,1,4,1,1,0
1,5198,,0,1,50,0,0,5,0,2,0,0,0
1,670,,0,1,47,1,0,5,0,1,0,0,0
1,1524,,0,1,25,0,1,3,0,1,0,0,0
1,5708,,0,1,27,0,1,1.0027397,0,1,0,0,0
1,2180,3073,0,1,28,0,1,3,0,1,1,1,0
1,4165,547,1,1,28,1,1,4.0821919,0,1,1,1,0
1,3867,,1,1,37,1,1,1.4931507,1,1,0,0,0
1,5979,,0,1,26,0,0,3,0,4,0,0,0
1,4913,,0,1,24,0,1,4,0,1,0,0,0
1,2292,,1,1,33,1,1,3,0,1,0,0,0
1,4280,,0,1,26,0,1,3,0,1,0,0,0
1,4288,,1,1,37,1,1,3,1,1,0,0,0
1,644,,1,1,17,1,0,3,0,1,0,0,0
1,3769,,1,1,53,1,1,2.4931507,2,1,0,0,0
1,5584,147,0,1,24,0,1,3.4931507,0,3,1,1,0
1,4879,,0,1,24,0,1,5,0,1,0,0,0
1,5122,,0,1,30,0,0,5,1,1,0,0,0
1,425,,1,1,28,1,0,1.8219178,0,2,0,0,0
1,4679,366,0,1,21,0,0,2.2712328,0,2,1,1,0
1,4498,1159,0,1,22,0,1,1.3945205,0,2,1,1,0
1,2378,,1,1,39,1,1,3,0,1,0,0,0
1,4702,,0,1,36,1,1,3,0,1,0,0,0
1,4794,,1,1,36,1,1,3,1,1,0,0,0
1,2569,,1,1,24,0,1,5.6164384,0,2,0,0,0
1,1224,,1,1,49,1,1,10,1,1,0,0,0
1,1468,,1,1,51,0,1,15,0,1,0,0,0
1,3897,,1,1,46,0,1,8.1808224,1,3,0,0,0
1,4719,2467,0,1,37,0,1,13.30137,0,3,1,0,1
1,2986,,1,1,30,0,1,1.0027397,0,2,0,0,0
1,5513,,0,1,66,1,1,1.0027397,0,2,0,0,0
1,384,,0,1,33,0,1,7.1150684,0,1,0,0,0
1,5256,,0,1,42,0,1,3,0,1,0,0,0
1,2345,1394,0,1,23,0,1,3,1,1,1,1,0
1,4949,,0,1,31,0,1,5,2,2,0,0,0
1,5808,,1,1,27,1,1,4,0,2,0,0,0
1,4387,,0,1,30,1,1,3,0,1,0,0,0
1,2454,,0,1,45,0,1,4.1123285,0,1,0,0,0
1,2741,,1,1,21,1,1,3,0,1,0,0,0
1,5164,798,0,1,25,0,1,1.4931507,0,3,1,1,0
1,2771,,0,1,59,0,1,3,1,1,0,0,0
1,5926,,1,1,42,1,1,3,2,1,0,0,0
1,3262,,1,1,25,0,1,3,0,2,0,0,0
1,1772,,1,1,32,1,1,7.4931507,0,1,0,0,0
1,3164,,1,1,29,0,1,7,0,1,0,0,0
1,1083,,1,1,36,0,1,7,0,1,0,0,0
1,4911,,0,1,40,1,0,3,0,1,0,0,0
1,3289,,0,1,32,0,0,5,0,2,0,0,0
1,5346,,0,1,29,0,1,1.4931507,0,1,0,0,0
1,4431,,0,1,28,1,1,4.049315,1,1,0,0,0
1,5683,,1,1,39,1,1,1.0027397,0,1,0,0,0
1,4767,,0,1,30,0,1,5,0,3,0,0,0
1,4469,,0,1,23,0,1,2.4931507,0,1,0,0,0
1,3163,,0,1,47,0,1,7.4931507,0,2,0,0,0
1,4886,,0,1,38,0,1,3,0,2,0,0,0
1,313,,1,1,29,0,1,2.0821917,0,1,0,0,0
1,2505,,1,1,34,0,1,5,2,1,0,0,0
1,1621,2682,0,1,34,0,1,3,0,2,1,1,0
1,6087,,0,1,25,0,1,3,0,1,0,0,0
1,3116,2102,0,1,20,0,1,5.1123285,0,2,1,0,1
1,4836,,1,1,62,1,1,5.4931507,0,1,0,0,0
1,1500,1458,1,1,47,0,1,4,2,2,1,1,0
0,-238,,1,1,24,1,1,1.4109589,0,1,0,0,0
1,4435,,1,1,31,0,1,6,0,1,0,0,0
1,5816,,0,1,23,0,1,2.8767123,0,1,0,0,0
1,5283,,1,1,36,1,1,2,0,1,0,0,0
1,2581,,0,1,34,0,0,7.4328766,1,1,0,0,0
1,3870,,0,1,50,0,1,5,0,3,0,0,0
1,1926,,1,1,30,1,1,6.4931507,0,1,0,0,0
1,3175,,0,1,33,0,1,3,0,1,0,0,0
1,5876,,0,1,31,0,0,3,0,2,0,0,0
1,4046,,0,1,24,0,1,3,0,1,0,0,0
1,2283,,1,1,42,0,1,3,1,1,0,0,0
1,4640,,1,1,25,1,1,3,0,1,0,0,0
1,236,,1,1,47,1,1,3,0,1,0,0,0
1,5002,,0,1,45,0,0,3,0,1,0,0,0
1,2941,633,0,1,32,1,1,3.4328768,0,3,1,1,0
1,3898,,1,1,29,0,0,3,0,1,0,0,0
1,5009,,1,1,30,0,1,3,0,1,0,0,0
1,4576,,1,1,32,0,1,3,1,1,0,0,0
1,4404,,0,1,26,0,1,3,0,2,0,0,0
1,4368,183,0,1,30,1,0,5,0,2,1,1,0
1,2841,,1,1,18,0,1,10,0,2,0,0,0
1,2379,,0,1,26,0,1,4,0,4,0,0,0
1,942,877,1,1,22,1,1,8,1,2,1,1,0
1,2082,,1,1,37,0,1,1.4931507,0,1,0,0,0
1,3290,296,1,1,19,1,1,7,0,2,1,0,1
1,3416,,0,1,35,0,1,6.3726029,0,1,0,0,0
1,5092,,0,1,40,0,1,3,0,1,0,0,0
1,4407,,0,1,46,0,1,2,0,1,0,0,0
1,1460,267,1,1,28,0,1,6,0,2,1,1,0
1,4287,,1,1,37,0,1,3,1,2,0,0,0
1,2706,,0,1,22,0,1,3,0,2,0,0,0
1,5360,,0,1,36,0,1,3,1,2,0,0,0
1,4883,,0,1,48,0,1,3,0,1,0,0,0
1,2462,262,1,1,27,1,1,3,0,1,1,1,0
1,2189,,1,1,27,1,1,2,0,1,0,0,0
1,599,,0,1,29,0,1,1.7397261,0,1,0,0,0
1,979,,1,1,42,0,1,7.4931507,0,2,0,0,0
1,496,,0,1,58,0,1,3,0,1,0,0,0
1,1278,,1,1,34,1,1,8,0,1,0,0,0
1,3065,,0,1,44,0,1,9,0,2,0,0,0
1,1568,,1,1,32,1,1,4,0,2,0,0,0
1,1846,,1,1,51,1,0,2.9041095,0,1,0,0,0
1,4295,,0,1,26,1,0,3,0,4,0,0,0
1,1249,1134,1,1,20,1,1,2,0,1,1,1,0
0,-278,,1,1,22,1,0,3.8219178,0,1,0,0,0
0,-170,,1,1,31,0,1,2.3287671,0,2,0,0,0
1,4185,,0,1,26,0,1,3,0,1,0,0,0
0,-190,1789,1,1,19,1,1,5,0,2,1,1,0
1,4332,,1,1,28,0,0,3,0,1,0,0,0
1,6027,,0,1,27,0,1,3,0,1,0,0,0
1,1137,,1,1,29,0,1,3,0,1,0,0,0
1,3421,,0,1,50,0,1,5.1863012,0,1,0,0,0
1,346,,0,1,24,0,1,12,0,2,0,0,0
1,5620,,1,1,27,1,1,3,0,2,0,0,0
1,187,,0,1,46,0,1,5,0,1,0,0,0
1,1901,,0,1,28,1,1,6,0,1,0,0,0
1,2199,,0,1,19,0,1,3,0,1,0,0,0
1,4499,,0,1,24,0,1,2.1643836,0,1,0,0,0
1,3659,,1,1,31,1,1,3,0,1,0,0,0
1,2082,,0,1,31,0,1,3.0438356,0,2,0,0,0
1,4899,,0,1,35,0,0,4.1726027,0,2,0,0,0
1,1743,,0,1,32,0,1,8,0,2,0,0,0
1,3647,,0,1,22,0,1,5,0,1,0,0,0
1,1844,,0,1,47,0,0,5,0,1,0,0,0
1,1263,,0,1,39,0,1,4.8054795,1,4,0,0,0
1,222,,1,1,30,1,1,3.7397261,0,1,0,0,0
1,51,,1,1,27,0,1,2.1643836,0,1,0,0,0
1,4514,,0,1,23,0,1,3,0,2,0,0,0
1,2789,,0,1,33,0,1,3,2,1,0,0,0
1,1257,,1,1,45,0,1,10,0,2,0,0,0
1,1264,,1,1,25,1,1,4,0,1,0,0,0
1,3818,,1,1,31,1,1,7,0,1,0,0,0
1,4724,,0,1,35,0,0,4,0,1,0,0,0
1,2038,,0,1,46,0,1,3,0,1,0,0,0
1,1104,,1,1,21,1,0,2,0,1,0,0,0
1,2756,504,1,1,39,0,1,4,0,4,1,0,1
1,1246,,1,1,33,0,1,3,0,1,0,0,0
1,2294,,0,1,40,0,1,2,2,1,0,0,0
1,2020,,0,1,40,0,1,5,0,1,0,0,0
1,2997,,0,1,30,0,1,1.4931507,0,1,0,0,0
1,5179,,0,1,56,1,1,3,0,1,0,0,0
1,4494,,1,1,43,1,1,3,0,1,0,0,0
1,4657,,0,1,23,0,1,7,0,2,0,0,0
1,2083,,0,1,30,0,1,3.789041,1,1,0,0,0
1,6227,114,0,1,28,1,1,1.0821918,2,1,1,0,1
1,3902,,1,1,28,1,1,3,1,1,0,0,0
1,1701,,1,1,32,0,1,3,0,1,0,0,0
